gene\tlog2FC\tp\tpadj\tn
PPM1A\t1.32296176207346\t3.03269561329959e-24\t4.1238829660718e-20\t12
TUBA1C\t-0.828727441108295\t4.1003062053908e-24\t4.1238829660718e-20\t12
SCAMP2\t-1.37532850259408\t1.43521349324915e-22\t9.62310647223552e-19\t12
LINC02074\t4.58473273993597\t5.82262256067874e-22\t2.92805132020132e-18\t12
TUBB8P8\t-2.34478901938576\t3.76029815958954e-21\t1.51276794960287e-17\t12
MOCS2\t0.878265092080664\t1.51823005052751e-20\t5.08986624439346e-17\t12
MT1H\t-4.09675470068104\t2.64636613834106e-20\t7.60452212467578e-17\t12
CCNH\t1.12177899051186\t1.20400263334586e-19\t3.027314121219e-16\t12
UPF3B\t1.15271034733307\t1.4597501562444e-19\t3.26254159920623e-16\t12
MT1E\t-1.90874085407224\t2.87882167948407e-19\t5.79074980828222e-16\t12
ERMARD\t1.2816231410057\t5.00541298822673e-19\t9.15308020528915e-16\t12
IL17C\t-1.84284632642308\t3.30799869574279e-18\t5.54503281373885e-15\t12
AC000035.1\t-2.59059176800045\t4.64813114499037e-18\t7.19208907549855e-15\t12
NUTF2\t1.00823432547778\t6.95023808669938e-18\t9.98600279385414e-15\t12
AL356747.1\t0.979690614927753\t1.04178190867616e-17\t1.39702953953473e-14\t12
INSIG2\t0.993171292532654\t1.8559471128289e-17\t2.33327351090958e-14\t12
LINC02391\t1.81388311002692\t2.1869926577772e-17\t2.51942783362512e-14\t12
LINC02045\t3.03655872719855\t2.25452155134239e-17\t2.51942783362512e-14\t12
AC073052.2\t1.52219161821917\t3.37487846268388e-17\t3.57293054088875e-14\t12
PRDM10\t-1.08312295476341\t4.1953828412442e-17\t4.00988996623453e-14\t12
EIF1AX\t0.891246245746149\t4.20733022491473e-17\t4.00988996623453e-14\t12
ZFP36\t-1.41748558742784\t4.38566140975191e-17\t4.00988996623453e-14\t12
AC125611.3\t-0.791249501303201\t5.60277645556868e-17\t4.8999934088593e-14\t12
FBXO3\t1.06536401198786\t9.86058161965058e-17\t8.26439996996964e-14\t12
SET\t1.30543524960296\t2.39570878249859e-16\t1.92758728639837e-13\t12
AL356966.1\t-0.730043617931471\t2.57437401749302e-16\t1.991674360072e-13\t12
MGAM2\t-3.0466075993515\t3.24940228276373e-16\t2.42080470065898e-13\t12
COMMD3\t1.02380156042654\t6.22142341321879e-16\t4.46942614131771e-13\t12
AC245052.4\t-1.87702211255001\t6.98086323872428e-16\t4.84207117403238e-13\t12
TUBB8\t-1.46831075818745\t1.47279114094646e-15\t9.87506460004603e-13\t12
CYP2S1\t-2.83104035832661\t2.31113268870525e-15\t1.4996269043002e-12\t12
DSTN\t0.594169701926071\t2.86468004092375e-15\t1.80071996947441e-12\t12
AF106564.1\t-2.53190496259301\t7.17576969710468e-15\t4.32729801226969e-12\t12
SAR1A\t0.788801859921529\t7.3143491134561e-15\t4.32729801226969e-12\t12
DMXL2\t1.07250705902661\t1.8639286192788e-14\t1.06735421272303e-11\t12
ARF6\t1.20617871024378\t1.95466988825447e-14\t1.06735421272303e-11\t12
NDUFA12\t1.34514722763834\t1.96331622524247e-14\t1.06735421272303e-11\t12
PRKCG\t-1.30380435534534\t3.54136832799954e-14\t1.87459536625554e-11\t12
PLCH1\t-4.60735629329855\t4.65929356154118e-14\t2.40312025616412e-11\t12
CDC42\t1.28753985275586\t7.66000499855825e-14\t3.85202501364998e-11\t12
AL031281.2\t1.27724269700626\t8.72477836141123e-14\t4.28046138389724e-11\t12
RASSF3\t1.602110557276\t1.41235334495646e-13\t6.76416369852362e-11\t12
EAF2\t1.23352193537151\t1.84866820739318e-13\t8.61515429301326e-11\t12
PSPHP1\t1.7538059284561\t1.88449808050004e-13\t8.61515429301326e-11\t12
EHMT1\t-1.44316768187919\t2.80095875549246e-13\t1.24474574869293e-10\t12
COMMD3-BMI1\t0.968935661716309\t2.84654757344642e-13\t1.24474574869293e-10\t12
GOLGA2\t-1.26972882506885\t3.46451554312596e-13\t1.48273893936125e-10\t12
PSTK\t1.43976198342994\t4.50610488963644e-13\t1.88565685461144e-10\t12
