gene\tlog2FC\tp\tpadj\tn
MMD\t2.27375199033126\t3.83521033317182e-57\t7.32793638359139e-53\t8
RNF214\t1.88687824272521\t1.12311028690515e-38\t1.07296341259484e-34\t8
PORCN\t1.91400205979177\t8.16637298824733e-31\t5.20116295621472e-27\t8
RHOU\t1.62409019805237\t2.39742547901358e-30\t1.14519021568781e-26\t8
FKBP11\t2.91735707787403\t9.4924493077838e-29\t3.6274445784765e-25\t8
CLDN11\t1.76106459461526\t3.1961857327688e-28\t1.01782534660022e-24\t8
AC073610.2\t2.39193809205686\t1.55027246934944e-27\t4.23157943883712e-24\t8
NFKBIA\t1.6772640923881\t3.09447794452187e-27\t7.39077376074742e-24\t8
KCNK1\t-3.50731414371042\t3.1520310843026e-25\t6.69176199197443e-22\t8
CTSC\t2.59306491537863\t4.30916218871883e-25\t8.23351619398506e-22\t8
TNFAIP3\t2.65821719559271\t1.16047499631811e-24\t2.01574506860456e-21\t8
KCTD12\t2.10540127046951\t3.53640000872935e-24\t5.63083291389931e-21\t8
HSBP1L1\t1.75677947141049\t4.71613101396424e-24\t6.93162425260113e-21\t8
CIART\t2.83421516147535\t3.91854339521982e-23\t5.34797204660465e-20\t8
CARHSP1\t2.18375293320372\t6.90883012031366e-23\t8.80046780725553e-20\t8
ID4\t2.87435899326952\t5.52302950273027e-22\t6.59553279429171e-19\t8
WFDC3\t-2.88208126327965\t1.46513718019486e-21\t1.64672800599901e-18\t8
CEACAM21\t-2.4410222360312\t1.69364445706261e-21\t1.79780359117196e-18\t8
INHA\t1.41329780901813\t4.40443323360385e-21\t4.4292371470773e-18\t8
TRIB1\t2.06569420019464\t1.028803498024e-20\t9.82867421837229e-18\t8
UAP1\t1.37562493151743\t1.50502537440195e-20\t1.36935808708086e-17\t8
NQO1\t2.00425686209823\t6.86504412815699e-20\t5.96229082530435e-17\t8
CDC14B\t1.61161050090795\t4.44288712763272e-19\t3.69088018902949e-16\t8
AC022167.2\t2.04460444643312\t2.04205820276997e-18\t1.62573358668024e-15\t8
SHCBP1\t2.33466240777744\t3.67065019799358e-18\t2.80540453332253e-15\t8
OOSP4B\t-3.8134446925723\t1.43973806981589e-17\t1.05804135769124e-14\t8
PTGES\t2.59261930433501\t3.69565826612212e-17\t2.61529416632575e-14\t8
SDC2\t1.43025149348137\t4.75006814333759e-17\t3.2414125719554e-14\t8
SLC7A4\t3.61343824484373\t5.99431649304399e-17\t3.94942776664109e-14\t8
ID2\t2.62471438912955\t6.66943727871599e-17\t4.24776460281421e-14\t8
DNALI1\t1.28741077655158\t7.64932264969026e-17\t4.71469702798812e-14\t8
FJX1\t2.22973248862959\t1.62313882660164e-16\t9.69166048746175e-14\t8
CXCR4\t2.59602903575101\t1.89471545886362e-16\t1.09704025068204e-13\t8
EFNB2\t2.03316299780799\t2.30352699310175e-16\t1.29451441932927e-13\t8
SLC7A5\t1.78388820654339\t3.16452775273136e-16\t1.72756090775537e-13\t8
FLCN\t-1.91649307746011\t1.11247918690698e-15\t5.90448328450877e-13\t8
SPAG4\t1.86949583518649\t2.76131359383069e-15\t1.42595726587359e-12\t8
TNFRSF11B\t2.73097738860237\t5.17361439746434e-15\t2.60137500769345e-12\t8
CDC7\t1.36741180714416\t1.31908675623267e-14\t6.46251042341991e-12\t8
PRR9\t3.36028053801778\t1.53978982492231e-14\t7.35519104619765e-12\t8
CDC42EP3\t-1.89195801692201\t1.63583325630005e-14\t7.62338195807927e-12\t8
STOM\t1.33428102905768\t1.8072423212253e-14\t8.2216616742028e-12\t8
PRKX\t0.943281959594245\t4.48901139081506e-14\t1.99468699172799e-11\t8
ACPP\t2.1059369460988\t5.78486332195939e-14\t2.51207689756087e-11\t8
CUTALP\t2.07233342940595\t1.6122382349361e-13\t6.84556354553868e-11\t8
ACTN2\t1.45971637570083\t1.68396500785064e-13\t6.9946781315222e-11\t8
ANKRD28\t-1.30154133760344\t2.0791274680909e-13\t8.45231670910912e-11\t8
LPIN1\t-1.20073597339527\t2.21577345644063e-13\t8.82016321504396e-11\t8
GPT2\t1.68325130096698\t2.39974114125834e-13\t9.35752122163735e-11\t8
KIAA1586\t1.21006315806106\t2.6149118941494e-13\t9.99262431230253e-11\t8
TUBA3D\t3.75501685393158\t2.80999351838542e-13\t1.05275580697628e-10\t8
COX20\t0.956947723958815\t3.28771562482336e-13\t1.20804581622115e-10\t8
ADGRV1\t1.60628480041883\t3.37513060590354e-13\t1.216766424283e-10\t8
AGPAT4\t-1.92724093522448\t3.91754071440337e-13\t1.38615648944639e-10\t8
TMEM37\t2.8190561618846\t5.34187330127365e-13\t1.85576678486247e-10\t8
ALDH1A3\t4.66949412917872\t5.44632536823132e-13\t1.8582667644785e-10\t8
PROCR\t1.8328069658079\t6.31688494950946e-13\t2.11748632860136e-10\t8
RALB\t1.38988142154557\t8.48745669436001e-13\t2.74960067728321e-10\t8
SH3BP4\t-1.97396398702963\t8.49041921597893e-13\t2.74960067728321e-10\t8
CA5B\t1.64939774794435\t1.00910647152985e-12\t3.21349955858682e-10\t8
GSEC\t2.03356333838578\t1.1119194794426e-12\t3.48285991700161e-10\t8
RAB20\t1.69948770789523\t1.5208553762016e-12\t4.6869328504974e-10\t8
P2RX6\t3.32983682226664\t1.65789628074051e-12\t5.02816257716014e-10\t8
TSHZ2\t-1.2179619998414\t1.70503372112854e-12\t5.09032489212548e-10\t8
NOL3\t1.44949293369061\t1.99521330080260e-12\t5.86500623668237e-10\t8
DTNA\t-1.94893171118647\t2.53268538179632e-12\t7.33212418030035e-10\t8
AL138689.2\t1.93495726316836\t3.31333697593301e-12\t9.44894471629136e-10\t8
SHC4\t2.52062959505501\t3.80055838054243e-12\t1.067901014368e-09\t8
WLS\t-2.12247415113903\t4.75858418338948e-12\t1.31771402886989e-09\t8
ETHE1\t1.448221306229\t7.09281860857248e-12\t1.93603550219992e-09\t8
MYH11\t-2.19890712505914\t9.49298572426877e-12\t2.55468279202258e-09\t8
RBP1\t0.7843316003543\t1.12509655871637e-11\t2.98572499269356e-09\t8
RBM47\t1.54838520614748\t2.52221112508104e-11\t6.60162848861965e-09\t8
MIR210HG\t2.14780725642269\t2.55954383304784e-11\t6.60881135378986e-09\t8
ANGPT2\t-2.39817581398502\t3.55970567774583e-11\t9.06870618462528e-09\t8
PCSK6\t1.66720669920967\t4.2168105853839e-11\t1.0601394717754e-08\t8
CBFB\t0.874976864626429\t4.43394233500591e-11\t1.10025111941504e-08\t8
RECK\t-1.40730199439576\t6.05571326281568e-11\t1.48341683734127e-08\t8
PRND\t2.51360622117441\t7.08807830446742e-11\t1.7143280020691e-08\t8
SPICE1\t1.60772734023995\t7.40670347907764e-11\t1.7689985421842e-08\t8
PRDX6\t1.08368694303151\t7.78624948760618e-11\t1.8366897402431e-08\t8
C2CD2\t1.93818195422051\t8.75927754858563e-11\t2.04101848927836e-08\t8
MGARP\t1.14399165828904\t1.03847253690205e-10\t2.39061382681778e-08\t8
ERRFI1\t1.07549507345491\t1.07082656899527e-10\t2.43574800640389e-08\t8
SOX4\t-2.28113459253191\t1.27852342992994e-10\t2.87397025596133e-08\t8
NRP2\t-2.10412240500994\t1.40142845535977e-10\t3.11361552285571e-08\t8
FNIP2\t1.23130260211282\t1.56184876839262e-10\t3.4301430365147e-08\t8
ESYT2\t1.00764804644247\t1.94716171848048e-10\t4.22777488125075e-08\t8
SLC2A3\t1.50053292111049\t2.95832939752196e-10\t6.35110110094967e-08\t8
